times (ms),x-accel,y-accel,z-accel
19361.09553,0.030731,-2.179886,0.36763
19361.12267,0.140747,-1.974854,1.10817
19361.14986,0.690552,-0.959442,1.881042
19361.176999999996,1.753571,-0.427505,2.556107
19361.20414,1.643524,0.330841,1.157104
19361.23129,0.992111,-1.49556,-0.306992
19361.25843,-0.187225,-1.137207,-0.942291
19361.28562,0.138077,-1.45105,0.987
19361.31277,0.934082,-1.888687,3.978119
19361.33991,-0.574661,-0.965088,0.064865
19361.36705,-0.620651,-0.973816,-0.579849
19361.39419,-0.525131,-0.977249,-0.468765
19361.421370000004,-0.053177,-1.040009,-0.047989
19361.44851999999,-0.084015,-1.15477,0.147385
19361.47551,-0.181091,-1.01593,-0.026062
19361.50265,-0.169479,-0.931595,-0.086685
19361.5298,0.030838,-0.989624,-0.0681
19361.55698,0.088852,-1.000397,-0.054184
19361.58412,0.019775,-0.997894,0.033707
19361.61127,-0.044022,-0.992035,0.125381
19361.638409999996,-0.03923,-0.880585,0.11322
19361.66556,0.056732,-0.951004,0.091995
19361.69274,0.108719,-1.009064,0.079498
19361.719890000008,0.061905,-1.013321,0.115372
19361.74703,-0.116333,-1.094788,0.291458
19361.77418,-0.221069,-1.238663,0.092941
19361.80132,-0.383392,-1.335098,0.058212
19361.828500000003,-0.480682,-1.668854,-0.166229
19361.85564,-0.240112,-1.542389,0.010574
19361.882780000004,0.531555,-1.890839,0.780533
19361.90992,1.235626,-2.141815,0.116318
19361.93707,0.781357,-0.985031,-0.208496
19361.96425,0.680344,-1.265854,-0.502396
19361.99139,0.060532,-0.274857,-0.352478
19362.01854,-0.31015,-0.020813,-0.180145
19362.04568,-0.315216,-0.429764,0.155319
19362.072829999994,-0.106201,-0.920044,0.314957
19362.10001,0.087692,-0.890579,0.51384
19362.12716,0.121506,-1.34967,0.564362
19362.1543,0.269928,-1.477615,0.227005
19362.18145,0.152985,-1.700363,0.496475
19362.208599999998,0.014191,-1.849579,0.387756
19362.23578,0.15802,-1.574387,0.762405
19362.26293,0.313049,-1.175491,1.272903
19362.29007,0.714783,-0.738083,1.443604
